"","targ_load_item_labeled","N_distilroberta","A_distilroberta","C_distilroberta","E_distilroberta","O_distilroberta","O_miniLM","N_miniLM","E_miniLMA_miniLM","C_miniLM","ML3_item_miniLM","A_mpnet","E_mpnet","C_mpnet","N_mpnet","O_mpnet","C_t5","A_t5","E_t5","N_t5","O_t5","A_psych","C_psych","N_psych","O_psychE_psych","ML1_item_psych","A_use_dan","N_use_dan","C_use_dan","O_use_danE_use_dan","ML1_item_use_dan","A_avg_trans","C_avg_trans","N_avg_trans","E_avg_trans","O_avg_trans"
"Morality",NA,-0.251,0.476,0.5,0.316,-0.062,-0.1,-0.142,0.608,0.381,0.465,0.546,0.221,0.537,-0.309,-0.079,0.554,0.581,0.215,-0.22,-0.137,0.551,0.587,-0.168,0.146,-0.025,0.494,-0.309,0.545,0.135,-0.01,0.529,0.536,-0.265,0.226,-0.042
"Altruism",NA,0.036,0.641,-0.092,0.493,-0.123,-0.156,0.084,0.91,-0.091,0.45,0.738,0.201,0.064,0.013,-0.013,-0.016,0.759,0.452,0.003,-0.201,0.731,-0.061,0.046,0.223,0.372,0.741,-0.229,-0.019,0.304,0.333,0.72,-0.061,0.041,0.332,-0.039
"Cooperation",NA,0.02,0.452,0.061,0.266,0.167,-0.186,0.199,0.658,0.151,0.351,0.398,0.238,0.153,0.016,0.174,0.155,0.414,0.307,-0.029,0.152,0.49,0.206,0.117,0.104,0.214,0.346,0.168,0.128,0.305,0.169,0.45,0.081,-0.007,0.251,0.198
"Modesty",NA,0.457,0.319,0.126,-0.119,0.229,0.34,0.232,0.404,-0.052,0.173,0.415,0,0.012,0.304,0.294,0.167,0.262,0.309,0.341,-0.091,0.408,0.054,0.52,-0.103,0.175,0.592,0.408,-0.018,-0.099,0.135,0.357,0.069,0.428,-0.108,0.228
"Sympathy",NA,0.157,0.8,-0.139,-0.047,0.187,0.441,0.059,0.704,-0.28,0.143,0.719,-0.155,0.066,0.149,0.201,-0.12,0.826,-0.263,0.212,0.337,0.882,-0.205,0.168,-0.021,0.149,0.843,0.241,-0.111,-0.115,0.122,0.839,-0.093,0.186,-0.163,0.187
"Anxiety",NA,0.66,-0.008,0.147,0.011,0.206,0.259,0.552,0.026,0.032,0.273,-0.036,-0.013,0.09,0.753,0.295,0.088,-0.009,-0.064,0.646,0.341,0.054,0.163,0.853,-0.159,0.184,-0.051,0.717,0.271,-0.025,0.403,-0.005,0.126,0.808,-0.106,0.165
"Anger",NA,0.629,0.004,0.106,0.031,0.177,-0.204,0.926,0.162,-0.048,0.322,0.089,-0.074,0.082,0.549,0.395,0.074,0.066,-0.061,0.684,0.224,0.015,0.166,0.902,-0.402,0.186,0.041,0.672,0.082,0.098,0.261,0.053,0.079,0.687,-0.121,0.238
"Depression",NA,0.713,0.063,-0.023,-0.087,0.301,0.167,0.701,0.102,-0.038,0.175,0.094,-0.076,-0.087,0.668,0.374,0.04,0.053,0.066,0.655,0.176,0.231,-0.158,0.884,-0.249,0.232,0.249,0.684,-0.06,0.029,0.272,0.125,-0.101,0.755,-0.198,0.357
"Self.Consciousness",NA,0.651,0.183,-0.069,0.113,0.109,0.282,0.689,0.096,-0.175,0.228,0.147,0.408,-0.232,0.54,0.003,-0.097,0.185,0.35,0.608,-0.058,0.147,0.107,0.515,0.086,0.441,0.231,0.655,0.005,-0.092,0.567,0.137,-0.112,0.655,0.273,-0.005
"Immoderation",NA,0.239,-0.002,0.151,0.167,0.397,0.282,0.29,0.042,0.291,0.22,0.141,0.063,0.167,0.233,0.343,0.344,-0.078,0.055,0.267,0.383,0.103,0.3,0.467,0.091,0.174,0.127,0.334,0.228,0.167,0.039,0.061,0.196,0.262,0.062,0.378
"Vulnerability",NA,0.556,0.075,0.213,0.039,0.134,0.199,0.489,-0.025,0.226,0.256,-0.081,-0.033,0.294,0.675,0.186,0.247,0.075,-0.17,0.644,0.208,0.073,0.302,0.61,-0.026,0.128,-0.082,0.787,0.302,-0.132,0.389,0.015,0.259,0.651,-0.038,0.094
