"","targ_load_item_rev_labeled","E_distilroberta","N_distilroberta","C_distilroberta","A_distilroberta","O_distilroberta","C_miniLMN_miniLM","A_miniLM","E_miniLM","ML2_item_miniLM","O_miniLM","E_mpnet","O_mpnet","A_mpnet","N_mpnet","C_mpnet","N_t5","A_t5","C_t5","E_t5","O_t5","E_psych","N_psych","C_psych","O_psychA_psych","ML4_item_psych","E_use_dan","C_use_dan","N_use_dan","O_use_dan","A_use_dan","E_avg_trans","N_avg_trans","C_avg_trans","O_avg_transA_avg_trans","ML4_item_avg_trans"
"Self.Discipline",NA,0.049,-0.317,0.429,0.263,0.008,0.43,0.01,0.171,0.279,-0.067,0.276,0.021,0.046,-0.296,0.447,-0.479,0.192,0.3,0.43,0.102,0.196,-0.441,0.473,0.198,-0.527,0.176,0.439,-0.258,0.288,0.028,0.109,-0.388,0.375,0.091,0.058
"Cautiousness",NA,-0.475,-0.199,0.466,0.397,0.019,0.39,-0.254,-0.359,-0.085,0.252,-0.345,0.12,0.384,-0.344,-0.027,-0.168,0.782,0.121,-0.333,0.109,-0.904,-0.253,0.363,0.057,0.286,-0.657,0.395,-0.216,0.035,0.061,-0.719,-0.243,0.359,0.161,0.374
"Friendliness",NA,0.544,-0.346,0.094,0.15,0.319,-0.03,-0.054,0.324,0.502,0.49,0.899,-0.103,0.384,0.048,0.064,-0.281,-0.149,0.011,0.467,0.416,0.484,-0.251,0.159,0.521,0.252,0.51,0.252,-0.339,0.015,0.143,0.521,-0.247,0.183,0.397,0.116
"Gregariousness",NA,0.628,0.163,-0.108,0.306,0.435,0,0.374,-0.025,-0.303,0.331,0.442,0.103,0.16,-0.113,-0.099,-0.1,0.104,0.007,0.572,0.396,0.596,0.125,-0.019,0.599,0.14,0.218,0.166,-0.049,0.343,0.039,0.5,-0.045,-0.082,0.514,0.047
"Assertiveness",NA,0.649,0.02,0.151,-0.153,-0.103,-0.105,-0.511,0.721,0.032,0.093,0.551,0.018,-0.287,-0.129,-0.158,-0.133,0.077,-0.068,0.685,0.308,0.446,0.161,0.231,0.363,-0.202,0.406,0.027,0.031,0.562,-0.131,0.41,-0.181,0.053,0.369,-0.441
"Activity.Level",NA,0.159,0.222,0.275,0.301,0.024,0.121,-0.163,-0.352,0.153,-0.407,0.075,0.156,-0.092,-0.055,-0.279,0.063,0.419,0.153,0.309,-0.054,0.236,0.022,0.111,0.315,-0.582,-0.151,-0.223,0.232,0.122,-0.03,-0.063,0.003,0.065,0.178,-0.138
"Excitement.Seeking",NA,0.357,0.076,-0.157,-0.458,0.449,-0.415,0.222,0.258,0.303,-0.191,0.195,0.25,-0.277,0.306,0.411,0.168,-0.662,0.187,0.346,0.075,0.866,0.261,-0.017,0.04,-0.147,0.645,-0.142,0.375,-0.003,-0.205,0.738,0.296,-0.027,0.036,-0.118
"Cheerfulness",NA,0.371,0.037,-0.105,-0.258,0.696,-0.425,0.359,0.248,0.24,-0.105,0.365,0.249,-0.083,0.434,0.301,0.139,-0.528,0.32,0.312,0.009,0.759,0.028,-0.029,0.185,0.254,0.627,0.117,0.148,0.103,-0.161,0.677,0.272,0.129,0.095,0.053
"Trust",NA,0.059,-0.421,0.406,-0.146,0.163,0.004,0.535,0.345,0.251,-0.219,0.345,-0.054,0.027,-0.27,0.487,-0.226,-0.236,0.648,0.124,-0.019,0.29,-0.227,0.281,0.092,0.435,-0.031,0.63,0.031,-0.351,0.381,0.333,-0.241,0.549,-0.145,0.058
"Morality",NA,-0.522,-0.094,0.088,0.64,0.084,0.43,-0.271,-0.377,-0.006,0.237,-0.333,0.095,0.77,-0.118,0.048,-0.192,0.521,-0.113,-0.405,0.212,-0.511,-0.331,-0.009,0.413,0.09,-0.32,0.013,-0.51,-0.157,0.485,-0.501,-0.179,0.017,0.201,0.518
"Altruism",NA,0.367,-0.219,0.27,0.204,0.313,0.237,0.182,-0.08,0.418,0.227,0.02,0.483,0.393,-0.103,0.004,-0.162,0.323,0.554,0.224,0.399,0.259,-0.114,0.269,0.405,0.495,0.175,0.092,0.082,0.191,0.571,0.252,-0.199,0.344,0.442,0.231
"Cooperation",NA,-0.165,-0.15,0.009,0.545,0.01,0.39,-0.172,-0.282,-0.328,0.21,-0.215,0.057,0.535,-0.297,0.022,-0.241,0.552,0.017,-0.46,0.117,-0.243,-0.474,-0.14,0.099,0.153,-0.262,-0.041,-0.327,-0.089,0.43,-0.271,-0.351,-0.088,0.1,0.363
"Modesty",NA,-0.126,-0.126,-0.563,0.066,-0.314,0.254,-0.496,-0.251,-0.136,0.148,-0.35,-0.366,0.139,0.094,-0.335,-0.199,0.048,-0.475,-0.45,-0.069,-0.39,-0.078,-0.388,-0.201,0.082,-0.05,-0.35,-0.383,-0.146,-0.005,-0.278,-0.121,-0.5,-0.152,0.125
"Sympathy",NA,0.239,0.021,0.032,0.31,0.268,0.281,-0.369,-0.239,0.057,0.337,0.23,0.522,0.27,0.052,-0.074,-0.004,0.485,-0.049,0.07,0.535,-0.171,0.187,-0.128,0.757,0.53,0.227,-0.014,-0.422,0.338,0.298,0.054,-0.026,-0.058,0.674,0.266
"Anxiety",NA,-0.238,0.664,0.181,-0.337,-0.083,0.011,-0.133,0.146,0.576,0.275,-0.087,0.191,-0.211,0.477,-0.402,0.826,0.16,-0.174,-0.061,0.163,-0.499,0.798,0.015,0.028,-0.167,0.003,0.079,0.53,0.04,-0.318,-0.492,0.733,0.048,0.271,-0.235
"Anger",NA,0.257,0.572,-0.143,-0.084,0.076,-0.375,0.145,0.228,-0.346,0.355,0.411,0.056,-0.072,0.654,-0.574,0.816,0.079,-0.427,0.103,0.097,0.185,0.726,-0.223,0.176,-0.425,0.068,0.211,-0.012,0.032,-0.058,0.02,0.611,-0.351,0.315,-0.32
"Depression",NA,-0.045,0.553,-0.212,-0.439,0.105,-0.497,0.19,0.165,0.206,-0.298,0.216,-0.112,-0.35,0.67,-0.295,0.572,-0.46,0.16,-0.039,-0.125,-0.045,0.675,-0.25,-0.289,-0.291,0.258,-0.401,0.389,-0.402,-0.182,0.06,0.614,-0.123,-0.248,-0.339
"Self.Consciousness",NA,-0.202,0.597,-0.058,-0.515,-0.183,-0.35,0.337,0.228,0.162,-0.265,-0.253,-0.018,-0.425,0.365,-0.13,0.744,-0.265,0.158,-0.141,-0.048,-0.165,0.652,-0.025,-0.35,-0.03,-0.149,-0.154,0.713,-0.13,-0.266,-0.132,0.612,-0.001,-0.218,-0.341
"Immoderation",NA,0.29,0.473,-0.327,0.222,0.394,0.361,0.323,-0.098,0.368,0.04,0.187,0.373,0.221,0.591,-0.391,0.859,-0.036,-0.292,-0.01,0.437,0.291,0.642,-0.363,0.468,0.017,0.133,0.119,0.254,0.356,-0.314,0.119,0.65,-0.31,0.515,0.057
"Vulnerability",NA,-0.022,0.58,-0.441,0.205,0.246,0.189,0.498,-0.341,-0.047,0.016,0.059,0.019,0.202,0.805,-0.472,0.721,-0.183,-0.383,-0.276,0.185,0.04,0.633,-0.573,0.207,-0.189,0.026,-0.202,0.247,-0.001,-0.189,-0.088,0.706,-0.501,0.18,0.093
