"","O_emp","C_emp","E_emp","A_emp","N_emp","MR1_item_rev_distilroberta","MR3_item_rev_distilroberta","MR2_item_rev_distilroberta","MR5_item_rev_distilroberta","MR4_item_rev_distilroberta","MR1_item_rev_miniLM","MR2_item_rev_miniLM","MR3_item_rev_miniLM","MR4_item_rev_miniLM","MR5_item_rev_miniLM","MR1_item_rev_mpnet","MR2_item_rev_mpnet","MR3_item_rev_mpnet","MR5_item_rev_mpnet","MR4_item_rev_mpnet","MR1_item_rev_t5","MR2_item_rev_t5","MR3_item_rev_t5","MR4_item_rev_t5","MR5_item_rev_t5","MR1_item_rev_psych","MR2_item_rev_psych","MR3_item_rev_psych","MR5_item_rev_psych","MR4_item_rev_psych","MR1_item_rev_use_dan","MR2_item_rev_use_dan","MR5_item_rev_use_dan","MR3_item_rev_use_dan","MR4_item_rev_use_dan","MR1_item_rev_avg_trans","MR2_item_rev_avg_trans","MR3_item_rev_avg_trans","MR4_item_rev_avg_trans","MR5_item_rev_avg_trans"
"Self.Discipline",NA,NA,NA,NA,NA,-0.115,-0.371,-0.122,0.11,0.397,-0.004,0.013,-0.052,0.054,0.414,0.287,-0.003,-0.164,0.306,0.073,-0.01,0.317,-0.399,0.324,0.016,-0.007,-0.247,0.093,0.077,0.67,-0.114,0.284,0.053,0.01,0.277,-0.054,0.239,-0.345,-0.04,0.105
"Cautiousness",NA,NA,NA,NA,NA,0.052,-0.207,0.011,0.671,0.065,-0.985,0.08,0.075,-0.057,0.008,-0.633,0.219,-0.152,-0.076,0.127,-0.96,-0.054,-0.028,0.183,0.242,-0.271,-0.317,0.055,0.718,-0.065,-0.768,0.144,-0.154,0.225,-0.064,-0.862,0.004,-0.141,0.294,-0.086
"Friendliness",NA,NA,NA,NA,NA,0.398,-0.248,-0.374,-0.216,0.038,0.02,0.571,-0.308,-0.057,0.268,0.279,-0.001,0.209,0.649,-0.077,0.11,0.783,-0.155,-0.273,-0.174,0.734,-0.201,-0.171,0.002,0.116,0.305,-0.088,0.018,-0.104,0.653,0.085,0.588,-0.12,-0.125,0.051
"Gregariousness",NA,NA,NA,NA,NA,0.426,0.268,-0.219,-0.176,0.303,-0.053,-0.289,-0.009,0.744,0.357,-0.045,0.116,-0.003,0.372,-0.269,0.018,0.65,0.011,0.188,-0.186,0.814,0.2,-0.115,-0.086,0.138,0.026,0.318,0.201,-0.11,-0.077,0.053,0.563,0.114,-0.164,0.173
"Assertiveness",NA,NA,NA,NA,NA,0.025,-0.105,-0.051,-0.537,0.377,0.064,0.289,-0.458,0.043,-0.094,0.207,0.05,-0.259,0.107,-0.543,0.086,0.736,0.063,0.061,-0.224,0.509,0.167,0.138,-0.097,0.276,0.18,0.412,0.154,-0.243,0.002,0.208,0.341,-0.154,-0.01,0.53
"Activity.Level",NA,NA,NA,NA,NA,-0.13,0.122,0.104,0.074,0.7,0.042,-0.344,0.085,-0.132,0.44,-0.173,0.129,-0.046,0.039,-0.341,-0.058,-0.034,0.05,0.733,-0.038,0.039,0.3,0.017,0.013,0.643,-0.088,0.093,0.128,-0.019,-0.443,-0.067,0.083,-0.02,0.082,0.261
"Excitement.Seeking",NA,NA,NA,NA,NA,0.51,-0.047,0.147,-0.393,-0.281,0.964,0.077,-0.072,-0.114,0.051,0.827,0.117,0.098,-0.043,0.188,0.946,0.193,-0.043,-0.117,-0.044,0.524,0.15,0.163,-0.57,0.016,0.728,-0.02,0.12,0.063,0.136,0.852,0.282,0.137,-0.162,-0.12
"Cheerfulness",NA,NA,NA,NA,NA,0.814,-0.015,0.065,-0.184,-0.351,0.965,0.073,-0.022,0.014,0.02,0.805,0.121,0.289,0.14,0.196,0.921,0.151,-0.088,-0.065,0.003,0.698,-0.093,-0.032,-0.403,-0.157,0.546,0.149,0.067,0.04,0.259,0.773,0.403,0.137,-0.148,-0.253
"Trust",NA,NA,NA,NA,NA,0.315,-0.567,-0.006,0.005,-0.17,0.889,0.041,0.086,0.085,0.033,0.386,-0.012,-0.173,0.271,0.196,0.608,0.197,-0.398,-0.2,0.252,0.538,-0.441,0.028,-0.074,-0.239,-0.01,-0.282,0.397,0.58,0.236,0.476,0.276,-0.32,-0.092,-0.255
"Morality",NA,NA,NA,NA,NA,-0.082,0.087,-0.157,0.726,0.027,-0.985,0.094,0.091,-0.084,0.092,-0.653,0.21,0.238,0.152,0.454,-0.979,-0.024,-0.038,-0.003,0.135,-0.111,-0.033,-0.333,0.618,0.259,-0.441,-0.265,0.09,-0.189,-0.021,-0.896,0.056,0.051,0.118,-0.205
"Altruism",NA,NA,NA,NA,NA,0.476,-0.191,-0.217,0.028,0.111,-0.059,0.153,-0.119,0.059,0.356,-0.274,0.591,-0.014,-0.013,0.054,-0.099,0.56,-0.162,0.089,0.282,0.778,-0.258,-0.055,0.115,-0.174,0.036,-0.152,0.867,0.084,-0.304,-0.121,0.596,-0.09,0.042,-0.044
"Cooperation",NA,NA,NA,NA,NA,-0.136,0.065,-0.288,0.372,0.146,-0.956,-0.069,0.118,0.122,-0.101,-0.607,0.191,-0.015,0.107,0.209,-0.935,-0.113,-0.117,0.012,0.226,-0.176,-0.24,-0.402,0.225,0.066,-0.334,-0.279,0.199,-0.123,-0.065,-0.726,0.033,-0.066,-0.075,-0.101
"Modesty",NA,NA,NA,NA,NA,-0.362,0.225,-0.379,-0.077,-0.353,-0.916,0.006,-0.112,-0.114,0.014,-0.497,-0.289,0.148,-0.146,0.061,-0.665,-0.274,-0.027,-0.228,-0.075,-0.488,0.054,-0.264,0.106,-0.161,-0.057,-0.117,-0.384,-0.443,0.108,-0.548,-0.343,0.092,-0.113,-0.026
"Sympathy",NA,NA,NA,NA,NA,0.395,0.151,-0.223,0.123,0.055,-0.891,0.15,-0.179,-0.067,0.121,-0.066,0.514,0.072,0.101,-0.131,-0.684,0.518,0.149,0.028,0.023,0.648,0.274,-0.29,0.506,-0.107,-0.077,0.054,0.211,-0.401,0.116,-0.531,0.509,0.177,0.088,0.114
"Anxiety",NA,NA,NA,NA,NA,-0.051,0.266,0.686,0.02,0.222,-0.042,0.667,0.012,-0.327,0.021,0.112,0.22,0.116,-0.538,-0.137,-0.002,-0.021,0.733,0.085,0.015,-0.17,0.648,0.439,0.328,-0.047,0.15,0.12,0.019,0.385,-0.109,-0.016,-0.119,0.434,0.655,0.18
"Anger",NA,NA,NA,NA,NA,0.031,0.442,0.276,-0.221,0.303,0.1,0.084,-0.006,0.374,-0.11,0.225,0.014,0.41,0.003,-0.334,0.068,0.027,0.788,0.103,-0.238,0.068,0.777,0.228,-0.116,0.204,0.029,0.029,-0.05,0.136,0.248,0.207,0.003,0.48,0.193,0.301
"Depression",NA,NA,NA,NA,NA,0.164,0.365,0.504,-0.152,-0.151,0.998,-0.071,-0.064,-0.097,0.006,0.517,-0.224,0.385,-0.072,-0.142,0.807,-0.237,0.268,-0.045,0.066,-0.301,0.556,0.329,-0.198,-0.094,0.605,-0.34,-0.106,0.096,0.027,0.699,-0.278,0.304,0.137,-0.025
"Self.Consciousness",NA,NA,NA,NA,NA,-0.164,0.284,0.622,-0.159,0.039,0.956,-0.009,0.082,-0.044,-0.089,0.28,-0.01,0.01,-0.594,0.035,0.591,-0.243,0.478,-0.047,0.198,-0.163,0.326,0.445,-0.1,-0.338,0.179,-0.018,0.081,0.403,-0.378,0.554,-0.304,0.276,0.297,-0.029
"Immoderation",NA,NA,NA,NA,NA,0.463,0.599,-0.025,0.029,0.001,0.055,0.129,0.347,0.15,0.396,0.05,0.355,0.456,-0.046,-0.088,0.028,0.213,0.741,-0.054,-0.087,0.471,0.699,-0.01,-0.03,0.008,0.071,0.499,-0.048,0.044,-0.152,0.062,0.304,0.626,0.161,0.002
"Vulnerability",NA,NA,NA,NA,NA,0.085,0.664,0.111,0.108,0.046,-0.066,0.016,0.585,0.017,-0.16,0.078,-0.028,0.692,-0.011,0.095,0.01,-0.182,0.553,-0.029,-0.123,-0.045,0.792,-0.078,-0.026,0.044,0.162,0.103,-0.096,-0.036,-0.211,0.012,-0.076,0.657,0.111,-0.129
