"","O_emp","C_emp","E_emp","A_emp","N_emp","ML5_item_distilroberta","ML4_item_distilroberta","ML2_item_distilroberta","ML3_item_distilroberta","ML1_item_distilroberta","ML4_item_miniLM","ML2_item_miniLM","ML5_item_miniLM","ML1_item_miniLM","ML3_item_miniLM","ML5_item_mpnet","ML4_item_mpnet","ML2_item_mpnet","ML3_item_mpnet","ML1_item_mpnet","ML2_item_t5","ML3_item_t5","ML1_item_t5","ML4_item_t5","ML5_item_t5","ML5_item_psych","ML2_item_psych","ML3_item_psych","ML4_item_psych","ML1_item_psych","ML5_item_use_dan","ML4_item_use_dan","ML2_item_use_dan","ML3_item_use_dan","ML1_item_use_dan","ML5_item_avg_trans","ML4_item_avg_trans","ML2_item_avg_trans","ML3_item_avg_trans","ML1_item_avg_trans"
"Self.Discipline",NA,NA,NA,NA,NA,0.053,-0.091,0.868,0.283,-0.284,-0.346,0.953,0.145,-0.051,0.29,0.252,-0.416,0.894,-0.19,0.161,0.767,0.029,-0.103,0.054,0.453,0.04,0.966,0.132,-0.252,-0.02,0.024,-0.01,0.851,-0.183,0.414,0.116,-0.225,0.84,0.273,-0.111
"Cautiousness",NA,NA,NA,NA,NA,0.09,-0.032,0.449,0.161,0.255,-0.04,0.665,-0.067,0.084,0.362,0.184,-0.037,0.356,0.357,0.243,0.54,0.115,0.009,0.244,0.342,0.026,0.382,0.381,0.117,0.312,0.076,0.089,0.318,0.272,0.173,0.073,-0.114,0.507,0.211,0.308
"Friendliness",NA,NA,NA,NA,NA,0.147,0.302,-0.144,0.764,-0.185,0.491,-0.126,0.474,-0.155,0.317,0.425,0.4,-0.127,0.047,0.368,-0.143,0.919,0.053,0.241,0.101,-0.104,0.241,0.575,0.202,0.301,0.359,0.341,-0.221,0.234,0.239,0.001,0.451,-0.07,0.686,0.042
"Gregariousness",NA,NA,NA,NA,NA,0.014,0.057,-0.039,0.626,0.181,0.088,0.128,0.162,0.327,0.296,0.006,0.227,0.01,0.548,0.595,-0.237,0.598,0.251,0.314,0.279,-0.067,0.171,0.497,0.05,0.491,-0.06,0.264,-0.077,0.64,0.301,-0.106,0.161,-0.026,0.574,0.451
"Assertiveness",NA,NA,NA,NA,NA,0.01,0.546,0.362,0.155,-0.04,0.518,0.425,-0.043,-0.123,0.23,-0.065,0.402,0.353,0.145,0.146,0.333,0.598,-0.208,0.491,-0.029,-0.198,0.465,0.451,0.353,0.113,0.011,0.435,0.139,0.17,0.01,-0.242,0.458,0.439,0.444,-0.034
"Activity.Level",NA,NA,NA,NA,NA,0.122,-0.206,0.693,0.362,-0.038,-0.16,0.577,0.385,0.019,0.173,0.179,-0.168,0.485,0.388,0.364,0.446,0.358,-0.091,0.017,0.521,-0.007,0.532,0.298,-0.195,0.342,0.146,-0.079,0.394,0.316,0.161,0.113,-0.223,0.589,0.369,0.137
"Excitement.Seeking",NA,NA,NA,NA,NA,-0.003,-0.067,-0.058,0.322,0.496,0.052,0.061,-0.147,0.369,0.663,0.029,0.148,-0.017,0.649,0.485,-0.293,0.413,0.441,0.325,0.327,-0.026,-0.094,0.518,0.039,0.74,0.145,-0.138,-0.069,0.639,0.329,-0.07,-0.054,-0.016,0.382,0.73
"Cheerfulness",NA,NA,NA,NA,NA,0.239,0.104,0.019,0.161,0.314,0.199,0.066,0.077,0.119,0.537,0.104,0.373,-0.003,0.394,0.24,0.042,0.44,0.194,0.195,0.314,-0.13,0.016,0.619,0.112,0.537,0.305,-0.145,0.035,0.576,0.299,-0.062,0.115,0.089,0.483,0.387
"Trust",NA,NA,NA,NA,NA,-0.209,0.78,0.003,0.076,0.203,0.68,-0.208,0.094,0.407,0.005,0.227,0.571,-0.128,0.191,0.13,0.172,0.187,0.349,0.65,-0.231,-0.057,0.084,0.094,0.944,0.021,0.156,0.546,-0.091,0.029,-0.008,0.048,0.749,-0.078,0.139,0.114
"Morality",NA,NA,NA,NA,NA,-0.206,0.561,0.485,0.215,-0.021,0.662,0.387,-0.136,-0.194,0.285,-0.298,0.717,0.405,0.067,-0.083,0.575,0.121,-0.035,0.746,-0.265,-0.017,0.243,-0.223,0.781,0.077,-0.152,0.65,0.194,0.099,-0.071,-0.084,0.716,0.483,-0.13,-0.071
"Altruism",NA,NA,NA,NA,NA,0.062,0.694,0.03,0.272,-0.071,0.894,-0.03,0.143,-0.154,0.145,-0.052,0.626,0.095,0.33,0.273,0.16,0.507,0.111,0.546,-0.167,-0.217,0.176,0.609,0.472,0.253,-0.015,0.753,0.015,0.062,0.434,-0.239,0.725,0.038,0.635,-0.008
"Cooperation",NA,NA,NA,NA,NA,0.134,0.414,0.023,0.157,0.065,0.683,-0.104,0.075,-0.25,0.6,0.215,0.336,0.173,0.371,0.039,0.192,0.354,0.21,0.236,0.217,0.372,0.068,-0.025,0.538,0.116,0.078,0.289,-0.06,0.392,0.407,0.367,0.447,0.029,-0.009,0.111
"Modesty",NA,NA,NA,NA,NA,0.216,0.494,0.156,-0.058,0.135,0.604,0.122,0.046,0.125,0.104,0.148,0.612,0.074,0.125,0.124,0.169,0.472,0.082,0.457,-0.003,0.315,0.234,0.293,0.609,-0.122,0.021,0.277,0.219,0.181,0.08,0.186,0.508,0.123,0.139,0.059
"Sympathy",NA,NA,NA,NA,NA,0.08,0.691,-0.131,0.092,0.114,0.751,-0.16,0.13,0.225,0.052,0.18,0.6,0.076,0.183,0.136,0.216,-0.06,0.654,0.462,-0.176,0.384,-0.064,-0.092,0.537,0.165,0.056,0.896,-0.108,-0.167,0.215,0.296,0.752,-0.179,0.094,0.01
"Anxiety",NA,NA,NA,NA,NA,0.654,-0.067,0.085,0.148,0.144,0.013,0.142,0.721,0.221,-0.101,0.771,0.131,0.036,0.121,-0.058,0.307,0.137,0.448,-0.227,0.557,0.889,0.075,-0.13,0.027,0.126,0.918,-0.114,-0.007,0.064,0.017,0.937,0.044,0.032,-0.103,0.004
"Anger",NA,NA,NA,NA,NA,0.64,0.038,0.14,0.006,0.077,-0.115,-0.205,0.836,-0.028,0.482,0.427,0.027,0.294,0.264,0.026,0.337,0.249,0.245,-0.101,0.486,0.769,0.116,-0.068,0.112,0.09,0.32,0.117,0.147,0.229,0.302,0.772,0.051,0.131,-0.103,0.041
"Depression",NA,NA,NA,NA,NA,0.62,0.099,0.009,-0.124,0.249,0.147,-0.171,0.641,0.1,0.278,0.509,-0.013,0.026,0.054,0.236,0.206,0.236,0.332,0.042,0.347,0.912,-0.065,-0.032,0.031,0.125,0.331,0.145,0.016,0.185,0.469,0.775,0.061,-0.068,-0.088,0.153
"Self.Consciousness",NA,NA,NA,NA,NA,0.505,0.24,-0.126,0.385,-0.032,0.22,-0.069,0.685,0.146,0.017,0.926,0.095,-0.179,-0.261,0.151,-0.038,0.762,0.119,0.131,0.226,0.685,0.07,0.005,0.309,0.003,0.611,0.101,-0.112,0.16,0.212,0.736,0.324,-0.169,0.092,-0.037
"Immoderation",NA,NA,NA,NA,NA,0.173,-0.117,0.149,0.172,0.488,0.054,0.32,0.325,0.142,0.155,0.313,0.1,0.2,0.072,0.114,0.351,0.079,0.222,0.038,0.511,0.681,0.104,-0.169,0.146,0.218,0.004,-0.012,0.361,0.324,-0.016,0.547,0.013,0.167,-0.206,0.306
"Vulnerability",NA,NA,NA,NA,NA,0.824,-0.077,0.097,0.01,0.04,0.029,0.211,0.624,0.061,0.075,0.905,0.048,0.013,0.183,-0.202,0.464,0.072,0.374,-0.322,0.624,0.913,0.107,-0.037,0.002,0.082,0.632,-0.008,0.114,-0.046,0.163,0.994,-0.02,0.098,-0.099,-0.068
