,N1_Anxiety,N2_Anger,N3_Depression,N4_SelfConsciousness,N5_Immoderation,N6_Vulnerability,E1_Friendliness,E2_Gregariousness,E3_Assertiveness,E4_Activity_level,E5_Excitement_Seeking,E6_Cheerfulness,O1_Imagination,O2_Artistic_interests,O3_Emotionality,O4_Adventurousness,O5_Intellect,O6_Liberalism,A1_Trust,A2_Morality,A3_Altruism,A4_Cooperation,A5_Modesty,A6_Sympathy,C1_Self-Efficacy,C2_Orderliness,C3_Dutifulness,C4_Achievementstriving,C5_SelfDiscipline,C6_Cautiousness
E5_Excitement_Seeking,0.52713215,0.49101174,0.38717312,0.39579827,0.37701017,0.52059156,0.48666263,0.69820577,0.44759062,0.5385725,1,0.55498874,0.47516462,0.5837286,0.5188924,0.5267835,0.46961346,0.3402328,0.39361852,0.30226868,0.4549065,0.55093896,0.47722277,0.44830564,0.37112093,0.51796323,0.14072825,0.3664784,0.2847834,0.59365726
E6_Cheerfulness,0.5224522,0.5557977,0.423037,0.378132,0.33660805,0.48302585,0.5262143,0.53055334,0.45412028,0.5068894,0.55498874,1,0.44199085,0.45113164,0.5900989,0.35210353,0.4056738,0.27355525,0.4431043,0.38863343,0.56649035,0.5286955,0.52974063,0.5058985,0.48709837,0.37885082,0.27372622,0.39221343,0.3052428,0.51264215
O1_Imagination,0.51762223,0.53734004,0.4320495,0.3717736,0.41500625,0.49671656,0.36323878,0.4333202,0.4158496,0.53142846,0.47516462,0.44199085,1,0.40101546,0.51089203,0.43159345,0.43391198,0.31927717,0.41676098,0.351618,0.35554177,0.5061814,0.38701132,0.43524498,0.45205468,0.3972844,0.19064133,0.3935336,0.3731362,0.5849822
O2_Artistic_interests,0.3992723,0.35669175,0.32225785,0.3251579,0.30667683,0.331801,0.38213122,0.5058449,0.35823426,0.36625963,0.5837286,0.45113164,0.40101546,1,0.45723867,0.5120123,0.4844515,0.37774137,0.43230858,0.3228088,0.44800198,0.4129886,0.48268786,0.526531,0.3001943,0.52145284,0.20808761,0.27452046,0.22254261,0.4616931
O3_Emotionality,0.6591703,0.7197214,0.5492672,0.5410535,0.47576103,0.72923356,0.5985251,0.5515366,0.5143256,0.64732355,0.5188924,0.5900989,0.51089203,0.45723867,1,0.40487146,0.49242574,0.41506875,0.5342915,0.38764226,0.56249243,0.65759903,0.51388854,0.64264935,0.55902326,0.45858392,0.24213387,0.43270633,0.39594343,0.64921546
O4_Adventurousness,0.4962034,0.46899763,0.47600502,0.4819685,0.5275945,0.4257448,0.45726213,0.5983226,0.3454701,0.63216406,0.5267835,0.35210353,0.43159345,0.5120123,0.40487146,1,0.57023454,0.35180533,0.3554253,0.2789754,0.38370752,0.5376332,0.4295011,0.5061432,0.4054602,0.6067347,0.1027723,0.410886,0.440773,0.5192724
O5_Intellect,0.51124877,0.48137298,0.3391148,0.46391493,0.41391551,0.5142957,0.44092962,0.56638724,0.45248732,0.5457333,0.46961346,0.4056738,0.43391198,0.4844515,0.49242574,0.57023454,1,0.42210594,0.3798686,0.29916638,0.44498727,0.508327,0.45726988,0.53507715,0.5187335,0.4226368,0.18105747,0.39834332,0.37318116,0.47627276
O6_Liberalism,0.38395917,0.36189133,0.28584468,0.3405149,0.3015124,0.41990954,0.35017607,0.453645,0.3324717,0.36491707,0.3402328,0.27355525,0.31927717,0.37774137,0.41506875,0.35180533,0.42210594,1,0.46356708,0.38850257,0.39713377,0.46999502,0.29932675,0.56890714,0.39496082,0.32899034,0.22351815,0.23049301,0.23542039,0.39939716
A1_Trust,0.59424204,0.4795992,0.33752605,0.465655,0.38434884,0.5259704,0.59226066,0.45684355,0.5245973,0.4659912,0.39361852,0.4431043,0.41676098,0.43230858,0.5342915,0.3554253,0.3798686,0.46356708,1,0.49207607,0.67978853,0.50564593,0.51137966,0.6641486,0.5013291,0.40988255,0.3279429,0.40645972,0.33609024,0.5980557
A2_Morality,0.4382443,0.41527948,0.17356183,0.24134643,0.38974655,0.41923335,0.34575817,0.39751175,0.4848067,0.40924737,0.30226868,0.38863343,0.351618,0.3228088,0.38764226,0.2789754,0.29916638,0.38850257,0.49207607,1,0.6160504,0.57895076,0.4882941,0.6362856,0.6332266,0.35494068,0.69772965,0.49683574,0.37734863,0.51704407
A3_Altruism,0.55028856,0.51129514,0.32840478,0.40169108,0.3979826,0.51572156,0.6560377,0.5797263,0.67994326,0.54187787,0.4549065,0.56649035,0.35554177,0.44800198,0.56249243,0.38370752,0.44498727,0.39713377,0.67978853,0.6160504,1,0.6357755,0.6492132,0.7925288,0.6689469,0.48881233,0.5056372,0.5047578,0.44301406,0.60270983
A4_Cooperation,0.6675216,0.72582585,0.4816599,0.5987266,0.61825246,0.7075859,0.5609155,0.6324195,0.49533594,0.6724953,0.55093896,0.5286955,0.5061814,0.4129886,0.65759903,0.5376332,0.508327,0.46999502,0.50564593,0.57895076,0.6357755,1,0.6268017,0.719879,0.7014634,0.52215916,0.39912456,0.4831322,0.47873676,0.6740645
A5_Modesty,0.58164054,0.53927433,0.52582526,0.54447556,0.4548249,0.51549906,0.58191043,0.5624581,0.6128275,0.5219333,0.47722277,0.52974063,0.38701132,0.48268786,0.51388854,0.4295011,0.45726988,0.29932675,0.51137966,0.4882941,0.6492132,0.6268017,1,0.66404384,0.5721623,0.45689946,0.41226336,0.5270281,0.43817905,0.57736224
A6_Sympathy,0.6648358,0.5816676,0.4563513,0.51608425,0.57524496,0.62629896,0.60574526,0.606693,0.5313163,0.56512207,0.44830564,0.5058985,0.43524498,0.526531,0.64264935,0.5061432,0.53507715,0.56890714,0.6641486,0.6362856,0.7925288,0.719879,0.66404384,1,0.65807986,0.51429313,0.3987729,0.5250413,0.47779197,0.6135079
C1_Self-Efficacy,0.6250254,0.61139834,0.40298855,0.49262896,0.48388082,0.66128504,0.4846573,0.47355816,0.59132344,0.59569234,0.37112093,0.48709837,0.45205468,0.3001943,0.55902326,0.4054602,0.5187335,0.39496082,0.5013291,0.6332266,0.6689469,0.7014634,0.5721623,0.65807986,1,0.40708062,0.5896854,0.72187215,0.6385121,0.5823073
C2_Orderliness,0.49772176,0.51901245,0.37136742,0.4038329,0.4008294,0.46019602,0.44988105,0.5978743,0.45438534,0.6202859,0.51796323,0.37885082,0.3972844,0.52145284,0.45858392,0.6067347,0.4226368,0.32899034,0.40988255,0.35494068,0.48881233,0.52215916,0.45689946,0.51429313,0.40708062,1,0.19257633,0.3747297,0.5015699,0.51677173
C3_Dutifulness,0.2706588,0.31141254,0.08931218,0.13057546,0.17495127,0.2803106,0.23658575,0.21062605,0.49938568,0.26079783,0.14072825,0.27372622,0.19064133,0.20808761,0.24213387,0.1027723,0.18105747,0.22351815,0.3279429,0.69772965,0.5056372,0.39912456,0.41226336,0.3987729,0.5896854,0.19257633,1,0.46889907,0.37740538,0.37365073
C4_Achievementstriving,0.5072964,0.48612198,0.34407443,0.34662494,0.4233488,0.47103968,0.39776567,0.40208715,0.53311014,0.53119487,0.3664784,0.39221343,0.3935336,0.27452046,0.43270633,0.410886,0.39834332,0.23049301,0.40645972,0.49683574,0.5047578,0.4831322,0.5270281,0.5250413,0.72187215,0.3747297,0.46889907,1,0.644271,0.5156759
C5_SelfDiscipline,0.57141024,0.5612736,0.3717929,0.45753455,0.41007745,0.53670007,0.4690802,0.36099645,0.5037886,0.6615554,0.2847834,0.3052428,0.3731362,0.22254261,0.39594343,0.440773,0.37318116,0.23542039,0.33609024,0.37734863,0.44301406,0.47873676,0.43817905,0.47779197,0.6385121,0.5015699,0.37740538,0.644271,1,0.5573255
C6_Cautiousness,0.71307015,0.6759607,0.46721146,0.5404414,0.5414063,0.6970964,0.59638405,0.5483044,0.63300633,0.74606764,0.59365726,0.51264215,0.5849822,0.4616931,0.64921546,0.5192724,0.47627276,0.39939716,0.5980557,0.51704407,0.60270983,0.6740645,0.57736224,0.6135079,0.5823073,0.51677173,0.37365073,0.5156759,0.5573255,1
