,N1_Anxiety,N2_Anger,N3_Depression,N4_SelfConsciousness,N5_Immoderation,N6_Vulnerability,E1_Friendliness,E2_Gregariousness,E3_Assertiveness,E4_Activity_level,E5_Excitement_Seeking,E6_Cheerfulness,O1_Imagination,O2_Artistic_interests,O3_Emotionality,O4_Adventurousness,O5_Intellect,O6_Liberalism,A1_Trust,A2_Morality,A3_Altruism,A4_Cooperation,A5_Modesty,A6_Sympathy,C1_Self-Efficacy,C2_Orderliness,C3_Dutifulness,C4_Achievementstriving,C5_SelfDiscipline,C6_Cautiousness
E5_Excitement_Seeking,0.40342352,0.34008187,0.28308892,0.4295823,0.3645426,0.35958496,0.36069304,0.48595253,0.3275168,0.28740534,1,0.5013233,0.45153466,0.37986696,0.40173614,0.44575235,0.3481373,0.25625825,0.33784154,0.3203424,0.32587752,0.46931198,0.3337521,0.24141061,0.12959586,0.11519642,0.21720518,0.2852178,0.20072103,0.4143014
E6_Cheerfulness,0.44175097,0.5374137,0.5087963,0.4711238,0.37226343,0.42500463,0.42035165,0.51074624,0.38344148,0.48726824,0.5013233,1,0.50550884,0.28315264,0.56275356,0.39098477,0.378243,0.21419543,0.31636718,0.3826973,0.44590887,0.46357,0.48535898,0.36768034,0.3151264,0.2704147,0.2554035,0.34171942,0.24863577,0.32453242
O1_Imagination,0.5450593,0.4642585,0.48944184,0.3271298,0.47343928,0.51034355,0.22506428,0.41231492,0.36224446,0.42706674,0.45153466,0.50550884,1,0.40333024,0.53439933,0.46398127,0.52518827,0.23432012,0.28206858,0.2618512,0.22686139,0.2691526,0.44093832,0.26523173,0.37452665,0.28775808,0.2526539,0.36024225,0.24757339,0.50170714
O2_Artistic_interests,0.2834534,0.2076781,0.28481796,0.2847566,0.27323622,0.18000641,0.2654646,0.35079253,0.23151626,0.1017847,0.37986696,0.28315264,0.40333024,1,0.43391463,0.40109476,0.36376053,0.37534854,0.36687648,0.1704696,0.3461597,0.26077038,0.36008793,0.3579612,0.090630606,0.26809344,0.12370563,0.10408225,-0.011819553,0.17605498
O3_Emotionality,0.645906,0.65319425,0.69968903,0.6525681,0.51949084,0.6605131,0.50807,0.45849347,0.5406263,0.4196258,0.40173614,0.56275356,0.53439933,0.43391463,1,0.4509665,0.5279891,0.32106382,0.42817527,0.3883076,0.578918,0.5141175,0.65628463,0.54226387,0.46756598,0.32161498,0.32806587,0.4386356,0.2841219,0.4455653
O4_Adventurousness,0.5272587,0.39146027,0.42755517,0.44890204,0.57015693,0.3932895,0.43483275,0.42509425,0.32028463,0.48572206,0.44575235,0.39098477,0.46398127,0.40109476,0.4509665,1,0.46795696,0.23601265,0.30404145,0.32235277,0.32383147,0.35175687,0.4045238,0.32734996,0.2878897,0.44465286,0.30304644,0.33020258,0.3215089,0.45024884
O5_Intellect,0.5102979,0.40139955,0.3270749,0.4312602,0.3979887,0.522745,0.3560936,0.34129056,0.38810974,0.37026533,0.3481373,0.378243,0.52518827,0.36376053,0.5279891,0.46795696,1,0.2801263,0.28615737,0.2818203,0.2961511,0.41423035,0.43401453,0.3239079,0.52941304,0.31656948,0.24122924,0.3343998,0.24170908,0.4157565
O6_Liberalism,0.22674012,0.15816946,0.1996894,0.23433335,0.25336605,0.16052799,0.24621738,0.24830359,0.32776418,0.063250445,0.25625825,0.21419543,0.23432012,0.37534854,0.32106382,0.23601265,0.2801263,1,0.5866951,0.4413312,0.37067378,0.36783,0.27519855,0.5478519,0.18566895,0.20817484,0.4174468,0.20119193,0.06957959,0.19899349
A1_Trust,0.38899064,0.22044195,0.3267979,0.4771621,0.21838263,0.2771361,0.53861624,0.34418356,0.5561791,0.074073955,0.33784154,0.31636718,0.28206858,0.36687648,0.42817527,0.30404145,0.28615737,0.5866951,1,0.46608245,0.6692245,0.4650906,0.5408066,0.6631999,0.26484057,0.24817291,0.39000303,0.2516071,0.09321344,0.3146161
A2_Morality,0.42379388,0.40094313,0.3037694,0.49111244,0.40985477,0.33541495,0.44383615,0.39333323,0.5984827,0.39244002,0.3203424,0.3826973,0.2618512,0.1704696,0.3883076,0.32235277,0.2818203,0.4413312,0.46608245,1,0.49427468,0.5296744,0.43139225,0.4283969,0.48765373,0.39878818,0.69562894,0.46822,0.35702822,0.5066469
A3_Altruism,0.4440577,0.37890908,0.41165304,0.6417368,0.25116938,0.38386008,0.7220703,0.5558472,0.6524527,0.28124157,0.32587752,0.44590887,0.22686139,0.3461597,0.578918,0.32383147,0.2961511,0.37067378,0.6692245,0.49427468,1,0.54808766,0.6188941,0.7798303,0.3163038,0.3847934,0.32148474,0.3325074,0.25560838,0.29616657
A4_Cooperation,0.45624003,0.6361339,0.43332142,0.60471547,0.37862608,0.47370064,0.56595236,0.39275777,0.527721,0.26699382,0.46931198,0.46357,0.2691526,0.26077038,0.5141175,0.35175687,0.41423035,0.36783,0.4650906,0.5296744,0.54808766,1,0.49062404,0.50105965,0.3536625,0.27564502,0.3276722,0.32677725,0.23621847,0.33687076
A5_Modesty,0.5064751,0.5119385,0.6025865,0.68149865,0.36886838,0.45163998,0.51235294,0.45453537,0.62687504,0.34650427,0.3337521,0.48535898,0.44093832,0.36008793,0.65628463,0.4045238,0.43401453,0.27519855,0.5408066,0.43139225,0.6188941,0.49062404,1,0.52818775,0.45571944,0.36969423,0.37417898,0.5082413,0.29506612,0.4211127
A6_Sympathy,0.39415562,0.33271465,0.40877283,0.50385916,0.2756268,0.3636664,0.5805075,0.41679272,0.48220548,0.13764353,0.24141061,0.36768034,0.26523173,0.3579612,0.54226387,0.32734996,0.3239079,0.5478519,0.6631999,0.4283969,0.7798303,0.50105965,0.52818775,1,0.2878153,0.28625166,0.24795309,0.26379588,0.136892,0.20388424
C1_Self-Efficacy,0.5709622,0.4676087,0.40370026,0.43688986,0.3594912,0.6062211,0.3249615,0.28643367,0.5003879,0.51328605,0.12959586,0.3151264,0.37452665,0.090630606,0.46756598,0.2878897,0.52941304,0.18566895,0.26484057,0.48765373,0.3163038,0.3536625,0.45571944,0.2878153,1,0.54161376,0.46871176,0.6244062,0.59914136,0.5354757
C2_Orderliness,0.44068187,0.41905662,0.3242891,0.34235927,0.35157374,0.35585013,0.32525292,0.35392642,0.37850344,0.51913744,0.11519642,0.2704147,0.28775808,0.26809344,0.32161498,0.44465286,0.31656948,0.20817484,0.24817291,0.39878818,0.3847934,0.27564502,0.36969423,0.28625166,0.54161376,1,0.42085883,0.4715535,0.56063783,0.4074683
C3_Dutifulness,0.3260771,0.33543903,0.33204263,0.3795206,0.39963052,0.30265132,0.25725925,0.2882785,0.51983607,0.36801603,0.21720518,0.2554035,0.2526539,0.12370563,0.32806587,0.30304644,0.24122924,0.4174468,0.39000303,0.69562894,0.32148474,0.3276722,0.37417898,0.24795309,0.46871176,0.42085883,1,0.47720882,0.3701807,0.5253076
C4_Achievementstriving,0.416115,0.4323419,0.42869303,0.3913738,0.4357282,0.42045975,0.24317555,0.25485757,0.49152437,0.587083,0.2852178,0.34171942,0.36024225,0.10408225,0.4386356,0.33020258,0.3343998,0.20119193,0.2516071,0.46822,0.3325074,0.32677725,0.5082413,0.26379588,0.6244062,0.4715535,0.47720882,1,0.7538622,0.5162067
C5_SelfDiscipline,0.44230723,0.40790945,0.29573452,0.29045963,0.2933047,0.42835814,0.24792852,0.2189064,0.34738043,0.6487145,0.20072103,0.24863577,0.24757339,-0.011819553,0.2841219,0.3215089,0.24170908,0.06957959,0.09321344,0.35702822,0.25560838,0.23621847,0.29506612,0.136892,0.59914136,0.56063783,0.3701807,0.7538622,1,0.46499667
C6_Cautiousness,0.56675947,0.45402345,0.4076399,0.47533095,0.5016472,0.5063777,0.27669322,0.33012694,0.5865574,0.48567343,0.4143014,0.32453242,0.50170714,0.17605498,0.4455653,0.45024884,0.4157565,0.19899349,0.3146161,0.5066469,0.29616657,0.33687076,0.4211127,0.20388424,0.5354757,0.4074683,0.5253076,0.5162067,0.46499667,1
