,N1_Anxiety,N2_Anger,N3_Depression,N4_SelfConsciousness,N5_Immoderation,N6_Vulnerability,E1_Friendliness,E2_Gregariousness,E3_Assertiveness,E4_Activity_level,E5_Excitement_Seeking,E6_Cheerfulness,O1_Imagination,O2_Artistic_interests,O3_Emotionality,O4_Adventurousness,O5_Intellect,O6_Liberalism,A1_Trust,A2_Morality,A3_Altruism,A4_Cooperation,A5_Modesty,A6_Sympathy,C1_Self-Efficacy,C2_Orderliness,C3_Dutifulness,C4_Achievementstriving,C5_SelfDiscipline,C6_Cautiousness
O3_Emotionality,0.9687884,0.9408247,0.9739157,0.97288483,0.96104145,0.97570646,0.96385807,0.9584132,0.9543214,0.9508646,0.9468639,0.95993847,0.95520484,0.9480367,1,0.9604565,0.95935756,0.9359674,0.94887125,0.94763106,0.9560199,0.9514458,0.96270835,0.96335644,0.96312076,0.9621994,0.9444084,0.9578633,0.9401376,0.95194286
O4_Adventurousness,0.9644575,0.9211625,0.9569746,0.9635274,0.9571945,0.9603342,0.9590643,0.9696499,0.9629408,0.95876336,0.9558788,0.94929653,0.95176685,0.9527052,0.9604565,1,0.96223944,0.9404376,0.9517313,0.95129955,0.9538469,0.95694846,0.96014816,0.95656043,0.9651679,0.9728482,0.9470742,0.95281214,0.94289964,0.96090883
O5_Intellect,0.95192707,0.9216237,0.9430681,0.95215064,0.93428123,0.9487872,0.943648,0.95686203,0.94143176,0.9338283,0.9499794,0.9430331,0.962099,0.96487284,0.95935756,0.96223944,1,0.94386315,0.94098604,0.9346812,0.93598,0.9392101,0.9494645,0.9451185,0.9493929,0.9485615,0.93792266,0.93755984,0.92815185,0.9486057
O6_Liberalism,0.9306361,0.88549936,0.9254689,0.9369648,0.93085825,0.9289928,0.92643255,0.938433,0.9412346,0.91800094,0.9384712,0.92460036,0.92383856,0.94897383,0.9359674,0.9404376,0.94386315,1,0.95605594,0.947765,0.94156367,0.9335093,0.95068616,0.9569582,0.9295165,0.9370891,0.94352394,0.9385538,0.9127002,0.93232375
A1_Trust,0.94407475,0.9046122,0.94032097,0.94519144,0.92827076,0.94071084,0.9499632,0.9340469,0.9472091,0.9224092,0.93146646,0.9277868,0.93079805,0.9340356,0.94887125,0.9517313,0.94098604,0.95605594,1,0.9481148,0.96209073,0.945483,0.9589518,0.95843744,0.9438156,0.9430806,0.93589866,0.93252313,0.903316,0.93729615
A2_Morality,0.9560718,0.9138744,0.9398701,0.95557463,0.9582929,0.9561446,0.9596252,0.9501874,0.9800478,0.94982356,0.94575334,0.9453316,0.9473847,0.92795193,0.94763106,0.95129955,0.9346812,0.947765,0.9481148,1,0.97364235,0.9671243,0.97163767,0.965459,0.96271795,0.95661503,0.97558504,0.9670053,0.9497865,0.96748966
A3_Altruism,0.9616758,0.91376126,0.9477037,0.9649055,0.9478341,0.9532952,0.9781882,0.96053296,0.9766992,0.9473405,0.9403739,0.9484271,0.9413962,0.9385021,0.9560199,0.9538469,0.93598,0.94156367,0.96209073,0.97364235,1,0.96408206,0.97206295,0.9762539,0.9525836,0.9543538,0.9559183,0.9550566,0.9344553,0.9539242
A4_Cooperation,0.9483153,0.9391969,0.95812625,0.9585938,0.9540039,0.9589413,0.9667195,0.95758814,0.9688831,0.9425729,0.9611062,0.9634869,0.9435776,0.9301383,0.9514458,0.95694846,0.9392101,0.9335093,0.945483,0.9671243,0.96408206,1,0.9628608,0.96566343,0.95388585,0.95050734,0.9554798,0.94851047,0.9338786,0.9563917
A5_Modesty,0.9611186,0.91608727,0.9631658,0.96768504,0.9553874,0.9560658,0.95861095,0.9559864,0.9749342,0.9514241,0.9463276,0.9580544,0.95557135,0.9413783,0.96270835,0.96014816,0.9494645,0.95068616,0.9589518,0.97163767,0.97206295,0.9628608,1,0.97378343,0.959162,0.95987815,0.9647258,0.9662323,0.93482614,0.9585512
A6_Sympathy,0.9602197,0.9080534,0.95186967,0.9648401,0.95739233,0.9589816,0.96007603,0.9573812,0.96697414,0.9407449,0.94376624,0.9538546,0.94850415,0.94789547,0.96335644,0.95656043,0.9451185,0.9569582,0.95843744,0.965459,0.9762539,0.96566343,0.97378343,1,0.953411,0.95390004,0.9466094,0.95672566,0.9214097,0.946644
C1_Self-Efficacy,0.96407884,0.9111499,0.9457778,0.95730585,0.9626942,0.9768614,0.95243716,0.9513748,0.97051036,0.95628846,0.9396441,0.94792867,0.94996154,0.9350738,0.96312076,0.9651679,0.9493929,0.9295165,0.9438156,0.96271795,0.9525836,0.95388585,0.959162,0.953411,1,0.97079396,0.9604629,0.97169435,0.96062684,0.9678947
C2_Orderliness,0.96625173,0.92565024,0.953372,0.9623774,0.9610617,0.96360457,0.95933056,0.96677023,0.9672192,0.9676373,0.94979286,0.9516527,0.9526832,0.9439783,0.9621994,0.9728482,0.9485615,0.9370891,0.9430806,0.95661503,0.9543538,0.95050734,0.95987815,0.95390004,0.97079396,1,0.95367366,0.96463287,0.9617062,0.9680229
C3_Dutifulness,0.9451742,0.9088752,0.93735605,0.9488763,0.94929135,0.9469893,0.93865716,0.94464064,0.9691613,0.9519696,0.9365739,0.9451272,0.93835264,0.9306572,0.9444084,0.9470742,0.93792266,0.94352394,0.93589866,0.97558504,0.9559183,0.9554798,0.9647258,0.9466094,0.9604629,0.95367366,1,0.9654477,0.9516658,0.966382
C4_Achievementstriving,0.9515988,0.90003574,0.94542295,0.9566218,0.95442206,0.9625567,0.9491218,0.9530872,0.97325134,0.962433,0.94188994,0.95118403,0.94419926,0.9280577,0.9578633,0.95281214,0.93755984,0.9385538,0.93252313,0.9670053,0.9550566,0.94851047,0.9662323,0.95672566,0.97169435,0.96463287,0.9654477,1,0.9660523,0.9691288
C5_SelfDiscipline,0.9498897,0.92321765,0.9359658,0.94477046,0.94782907,0.95559126,0.94623107,0.951687,0.9562198,0.9658647,0.93676054,0.93614495,0.94144785,0.91239166,0.9401376,0.94289964,0.92815185,0.9127002,0.903316,0.9497865,0.9344553,0.9338786,0.93482614,0.9214097,0.96062684,0.9617062,0.9516658,0.9660523,1,0.9653166
C6_Cautiousness,0.95995945,0.92521006,0.94610906,0.95599765,0.95782995,0.9608744,0.9538712,0.9592482,0.9708487,0.9636847,0.9595515,0.95594746,0.9643848,0.93538743,0.95194286,0.96090883,0.9486057,0.93232375,0.93729615,0.96748966,0.9539242,0.9563917,0.9585512,0.946644,0.9678947,0.9680229,0.966382,0.9691288,0.9653166,1
